"tagname","round","count"
"search","1.682","22"
"android-fragments","1.680","25"
"ruby-on-rails","1.679","162"
"scala","1.673","52"
"asp.net-mvc","1.671","70"
"rest","1.667","36"
"dictionary","1.667","33"
"ssl","1.667","21"
"visual-c++","1.667","18"
"plot","1.667","15"
"url","1.667","15"
"cmd","1.667","12"
"mvvm","1.667","12"
"dart","1.652","46"
"object","1.652","23"
"wpf","1.649","74"
"dplyr","1.643","14"
"routes","1.643","14"
"events","1.636","11"
"objective-c","1.634","112"
"linux","1.633","90"
"parsing","1.633","30"
"image-processing","1.629","35"
"ruby-on-rails-4","1.625","24"
"git","1.623","61"
"azure-devops","1.615","13"
"iframe","1.615","13"
"cookies","1.611","18"
"sql-server-2008","1.611","18"
"image","1.607","56"
"windows","1.605","76"
"python","1.600","942"
"winforms","1.600","45"
"entity-framework","1.600","30"
"firefox","1.600","15"
"xml","1.592","76"
"web","1.591","22"
"winapi","1.588","17"
"vue.js","1.583","36"
"bootstrap-4","1.583","12"
"ajax","1.582","98"
"recursion","1.579","19"
"swing","1.576","33"
"vba","1.575","87"
"select","1.571","21"
"django-models","1.571","14"
"methods","1.571","14"
"promise","1.571","14"
"sqlite","1.568","37"
"python-requests","1.563","16"
"csv","1.552","29"
"express","1.545","33"
"cocoa","1.545","11"
"https","1.545","11"
"cordova","1.538","26"
"android-activity","1.538","13"
"iis","1.538","13"
"menu","1.538","13"
"ios","1.535","271"
"android","1.533","587"
"user-interface","1.533","30"
"data-binding","1.533","15"
"delphi","1.533","15"
"xpath","1.533","15"
"google-cloud-platform","1.529","17"
"unit-testing","1.528","36"
"pdf","1.526","19"
"flutter","1.524","82"
"unity-game-engine","1.516","31"
"python-3.x","1.514","138"
"dataframe","1.511","47"
"laravel","1.500","102"
"numpy","1.500","40"
"datetime","1.500","28"
"post","1.500","24"
"kubernetes","1.500","22"
"unix","1.500","20"
"button","1.500","16"
"cassandra","1.500","16"
"groovy","1.500","16"
"installation","1.500","14"
"video","1.500","14"
"input","1.500","12"
"scroll","1.500","12"
"pandas","1.490","104"
"qt","1.483","29"
"python-2.7","1.479","48"
"twitter-bootstrap","1.477","44"
"gradle","1.476","21"
"heroku","1.476","21"
"batch-file","1.474","19"
"svg","1.471","17"
"tkinter","1.471","17"
"node.js","1.469","228"
"excel","1.467","135"
"azure","1.467","60"
"webview","1.467","15"
"import","1.462","13"
"meteor","1.462","13"
"scikit-learn","1.462","13"
"serialization","1.462","13"
"r","1.459","220"
"machine-learning","1.458","24"
"jpa","1.455","22"
"validation","1.455","22"
"core-data","1.455","11"
"swift","1.453","128"
"android-layout","1.450","20"
"spring-mvc","1.450","20"
"ggplot2","1.444","27"
"pyspark","1.444","18"
"session","1.444","18"
"angularjs","1.440","100"
"vb.net","1.439","66"
"memory","1.435","23"
"facebook","1.432","37"
"actionscript-3","1.429","21"
"jsp","1.429","14"
"playframework","1.429","14"
"plugins","1.429","14"
"postgresql","1.425","73"
"android-studio","1.423","52"
"ubuntu","1.423","26"
"matlab","1.419","43"
"activerecord","1.417","12"
"character-encoding","1.417","12"
"dynamic","1.417","12"
"ecmascript-6","1.417","12"
"jwt","1.417","12"
"layout","1.417","12"
"sharepoint","1.417","12"
"tcp","1.417","12"
"authentication","1.414","29"
"docker","1.413","63"
"hibernate","1.410","39"
"selenium","1.410","39"
"flash","1.409","22"
"xaml","1.407","27"
"mongodb","1.405","79"
"debugging","1.400","20"
"maven","1.395","38"
"shiny","1.391","23"
"testing","1.391","23"
"ms-access","1.389","18"
"kotlin","1.388","49"
"typescript","1.386","101"
"amazon-web-services","1.385","78"
"jquery-mobile","1.385","13"
"triggers","1.385","13"
"webpack","1.385","13"
"django","1.381","105"
"excel-formula","1.381","21"
"reactjs","1.379","190"
"uitableview","1.375","24"
"powershell","1.372","43"
"opencv","1.368","38"
"audio","1.368","19"
"github","1.364","22"
"google-sheets","1.364","22"
"ruby-on-rails-3","1.364","22"
"flask","1.357","28"
"web-services","1.357","28"
"spring","1.356","90"
"apache-kafka","1.353","17"
"dom","1.350","20"
"hadoop","1.350","20"
"jenkins","1.350","20"
"forms","1.345","58"
"spring-boot","1.333","60"
"apache-spark","1.333","33"
"asp.net-core","1.333","30"
"google-app-engine","1.333","24"
"axios","1.333","12"
"cakephp","1.333","12"
"datatable","1.333","12"
"memory-leaks","1.333","12"
"mongoose","1.333","12"
"wordpress","1.329","76"
"animation","1.318","22"
"firebase","1.317","63"
"nginx","1.316","19"
"matplotlib","1.314","35"
"docker-compose","1.313","16"
"listview","1.313","16"
"rust","1.313","16"
"angular","1.308","117"
"apache-spark-sql","1.308","13"
"google-cloud-firestore","1.294","17"
"react-hooks","1.294","17"
"sockets","1.292","24"
"apache","1.289","38"
"macos","1.286","49"
"matrix","1.286","21"
"checkbox","1.286","14"
"amazon-s3","1.280","25"
"woocommerce","1.278","18"
".htaccess","1.273","33"
"aws-lambda","1.273","11"
"file-upload","1.273","11"
"firebase-authentication","1.273","11"
"ruby-on-rails-5","1.273","11"
"ssh","1.273","11"
"yaml","1.273","11"
"facebook-graph-api","1.250","16"
"tfs","1.250","16"
"eloquent","1.250","12"
"jsf","1.250","12"
"model-view-controller","1.250","12"
"rubygems","1.250","12"
"spring-security","1.250","12"
"amazon-ec2","1.238","21"
"symfony","1.237","38"
"logging","1.231","13"
"mobile","1.231","13"
"opengl","1.231","13"
"web-scraping","1.227","22"
"javafx","1.214","14"
".net-core","1.200","20"
"curl","1.200","20"
"graph","1.200","15"
"neo4j","1.200","15"
"swiftui","1.200","15"
"devise","1.182","11"
"grails","1.182","11"
"http-headers","1.182","11"
"lua","1.182","11"
"orm","1.182","11"
"plsql","1.182","11"
"primefaces","1.182","11"
"terminal","1.182","11"
"websocket","1.182","11"
"xamarin.android","1.182","11"
"react-native","1.179","56"
"google-apps-script","1.179","28"
"tensorflow","1.171","35"
"xamarin","1.167","18"
"canvas","1.167","12"
"firebase-realtime-database","1.167","12"
"ionic-framework","1.167","12"
"jestjs","1.167","12"
"proxy","1.167","12"
"api","1.163","49"
"elasticsearch","1.158","19"
"visual-studio-2010","1.158","19"
"caching","1.154","13"
"keras","1.154","13"
"mod-rewrite","1.143","14"
"intellij-idea","1.136","22"
"selenium-webdriver","1.136","22"
"magento","1.133","15"
"redux","1.125","16"
"redis","1.118","17"
"laravel-5","1.115","26"
"blazor","1.091","11"
"charts","1.091","11"
"google-bigquery","1.091","11"
"pytorch","1.091","11"
"drag-and-drop","1.083","12"
"expo","1.077","13"
"build","1.063","16"
"gridview","1.063","16"
"d3.js","1.059","17"
"ffmpeg","1.000","11"
"google-chrome-extension","1.000","11"
